date,open,high,low,close,volume,average,barCount
2025-05-16 09:30:00-04:00,520.69,520.73,519.84,519.91,604584.0,520.327,2820
2025-05-16 09:31:00-04:00,519.9,519.99,519.47,519.62,138908.0,519.775,961
2025-05-16 09:32:00-04:00,519.66,519.97,519.54,519.77,87016.0,519.758,663
2025-05-16 09:33:00-04:00,519.81,519.98,519.62,519.62,113617.0,519.845,806
2025-05-16 09:34:00-04:00,519.62,519.93,519.56,519.71,70543.0,519.72,466
2025-05-16 09:35:00-04:00,519.72,520.15,519.62,519.71,155710.0,519.84,1072
2025-05-16 09:36:00-04:00,519.7,519.89,519.41,519.48,114737.0,519.668,731
2025-05-16 09:37:00-04:00,519.45,519.51,519.27,519.35,87240.0,519.389,613
2025-05-16 09:38:00-04:00,519.34,519.56,519.12,519.45,146925.0,519.315,883
2025-05-16 09:39:00-04:00,519.46,520.09,519.4,519.96,169881.0,519.765,819
2025-05-16 09:40:00-04:00,519.99,520.0,519.64,519.66,125030.0,519.827,726
2025-05-16 09:41:00-04:00,519.69,519.69,518.86,519.01,132170.0,519.271,811
2025-05-16 09:42:00-04:00,519.0,519.27,518.79,519.21,124815.0,518.964,769
2025-05-16 09:43:00-04:00,519.21,519.45,518.95,519.25,124842.0,519.188,709
2025-05-16 09:44:00-04:00,519.26,519.68,519.19,519.38,128530.0,519.441,679
2025-05-16 09:45:00-04:00,519.4,519.7,519.28,519.67,107588.0,519.463,585
2025-05-16 09:46:00-04:00,519.69,519.83,519.54,519.83,62588.0,519.708,387
2025-05-16 09:47:00-04:00,519.85,519.88,519.46,519.77,98993.0,519.624,540
2025-05-16 09:48:00-04:00,519.76,519.85,519.58,519.62,50390.0,519.69,333
2025-05-16 09:49:00-04:00,519.59,519.99,519.4,519.97,93191.0,519.701,516
2025-05-16 09:50:00-04:00,519.94,520.17,519.73,519.82,129465.0,520.007,813
2025-05-16 09:51:00-04:00,519.89,520.08,519.71,520.0,42000.0,519.874,220
2025-05-16 09:52:00-04:00,520.05,520.05,519.55,519.73,77303.0,519.714,434
2025-05-16 09:53:00-04:00,519.72,519.82,519.5,519.59,127901.0,519.728,391
2025-05-16 09:54:00-04:00,519.56,519.89,519.51,519.61,42695.0,519.71,305
2025-05-16 09:55:00-04:00,519.58,519.81,519.41,519.75,62782.0,519.597,434
2025-05-16 09:56:00-04:00,519.74,520.12,519.72,520.09,168382.0,520.034,576
2025-05-16 09:57:00-04:00,520.08,520.09,519.85,519.86,53081.0,519.936,285
2025-05-16 09:58:00-04:00,519.87,520.07,519.87,519.9,43006.0,519.946,253
2025-05-16 09:59:00-04:00,519.91,520.0,519.66,519.97,51073.0,519.818,321
2025-05-16 10:00:00-04:00,520.0,520.0,518.86,519.25,305964.0,519.33,1421
2025-05-16 10:01:00-04:00,519.23,519.59,519.09,519.46,169844.0,519.382,1108
2025-05-16 10:02:00-04:00,519.42,519.93,519.42,519.71,146324.0,519.758,722
2025-05-16 10:03:00-04:00,519.73,519.95,519.6,519.62,73755.0,519.78,430
2025-05-16 10:04:00-04:00,519.63,519.89,519.53,519.83,52244.0,519.743,386
2025-05-16 10:05:00-04:00,519.87,520.17,519.56,519.66,117054.0,519.932,750
2025-05-16 10:06:00-04:00,519.65,519.65,519.12,519.3,310117.0,519.267,1520
2025-05-16 10:07:00-04:00,519.32,520.08,519.29,519.91,122590.0,519.752,886
2025-05-16 10:08:00-04:00,519.94,520.0,519.4,519.4,65748.0,519.699,501
2025-05-16 10:09:00-04:00,519.42,519.83,519.33,519.78,70895.0,519.554,513
2025-05-16 10:10:00-04:00,519.75,519.87,519.55,519.63,52756.0,519.67,349
2025-05-16 10:11:00-04:00,519.61,519.78,519.27,519.29,69417.0,519.583,493
2025-05-16 10:12:00-04:00,519.27,519.44,519.05,519.4,91402.0,519.199,590
2025-05-16 10:13:00-04:00,519.42,519.57,519.16,519.56,49177.0,519.371,386
2025-05-16 10:14:00-04:00,519.55,519.65,519.44,519.55,124827.0,519.55,734
2025-05-16 10:15:00-04:00,519.55,519.75,519.37,519.67,98242.0,519.556,624
2025-05-16 10:16:00-04:00,519.69,519.94,519.66,519.75,107927.0,519.831,570
2025-05-16 10:17:00-04:00,519.78,519.99,519.78,519.93,64513.0,519.871,349
2025-05-16 10:18:00-04:00,519.93,520.34,519.92,520.2,123675.0,520.151,734
2025-05-16 10:19:00-04:00,520.21,520.35,520.2,520.34,106516.0,520.289,484
2025-05-16 10:20:00-04:00,520.34,520.37,520.02,520.1,99408.0,520.224,579
2025-05-16 10:21:00-04:00,520.11,520.19,520.05,520.11,46640.0,520.106,271
2025-05-16 10:22:00-04:00,520.12,520.12,519.69,519.94,65946.0,519.851,381
2025-05-16 10:23:00-04:00,519.93,520.0,519.7,519.87,71512.0,519.839,409
