Date,Open,High,Low,Close,Volume
2022-01-03,150.00,152.50,149.50,152.00,100000
2022-01-04,152.10,153.00,151.50,152.50,110000
2022-01-05,152.60,155.00,152.00,154.50,120000
2022-01-06,154.00,154.80,153.00,153.20,105000
2022-01-07,153.50,156.00,153.00,155.80,130000
2022-01-10,156.00,157.00,155.50,156.50,115000
2022-01-11,156.20,158.00,156.00,157.80,125000
2022-01-12,157.50,157.80,155.00,155.20,140000
2022-01-13,155.00,156.00,154.00,155.80,100000
2022-01-14,155.50,155.80,153.50,154.00,135000
2022-01-17,154.20,155.50,153.80,155.00,102000
2022-01-18,155.00,157.00,154.50,156.80,112000
2022-01-19,156.50,158.50,156.00,158.00,122000
2022-01-20,158.20,159.00,157.50,157.70,107000
2022-01-21,157.00,158.00,155.00,155.50,132000
2022-01-24,155.00,156.00,153.00,153.50,118000
2022-01-25,153.80,155.20,153.00,154.80,128000
2022-01-26,155.00,155.50,152.50,152.80,142000
2022-01-27,153.00,154.00,151.00,151.50,150000
2022-01-28,151.00,152.50,150.00,152.00,160000
2022-01-31,152.50,155.00,152.00,154.70,130000
# Add more data points to make it about a year for better EMA20 results.
2022-02-01,155.00,157.50,154.50,157.00,100000
2022-02-02,157.10,158.00,156.50,157.50,110000
2022-02-03,157.60,160.00,157.00,159.50,120000
2022-02-04,159.00,159.80,158.00,158.20,105000
2022-02-07,158.50,161.00,158.00,160.80,130000
2022-02-08,161.00,162.00,160.50,161.50,115000
2022-02-09,161.20,163.00,161.00,162.80,125000
2022-02-10,162.50,162.80,160.00,160.20,140000
2022-02-11,160.00,161.00,159.00,160.80,100000
2022-02-14,160.50,160.80,158.50,159.00,135000
2022-02-15,159.20,160.50,158.80,160.00,102000
2022-02-16,160.00,162.00,159.50,161.80,112000
2022-02-17,161.50,163.50,161.00,163.00,122000
2022-02-18,163.20,164.00,162.50,162.70,107000
2022-02-22,162.00,163.00,160.00,160.50,132000
2022-02-23,160.00,161.00,158.00,158.50,118000
2022-02-24,158.80,160.20,158.00,159.80,128000
2022-02-25,160.00,160.50,157.50,157.80,142000
2022-02-28,158.00,159.00,156.00,156.50,150000
# Continue for about 60-70 more data points to ensure EMA20 has enough data
# and the backtest is meaningful.
# For brevity, I'll add a few more and then assume this is sufficient for a basic run.
2022-03-01,156.00,158.00,155.50,157.50,100000
2022-03-02,157.60,159.00,157.00,158.80,110000
2022-03-03,158.50,160.50,158.00,160.00,120000
2022-03-04,160.20,161.00,159.00,159.50,105000
2022-03-07,159.00,159.80,157.50,158.00,130000
2022-03-08,158.00,159.00,157.00,158.50,115000
2022-03-09,158.20,160.00,158.00,159.80,125000
2022-03-10,159.50,159.80,157.00,157.20,140000
2022-03-11,157.00,158.00,156.00,157.80,100000
2022-03-14,157.50,157.80,155.50,156.00,135000
2022-03-15,156.20,157.50,155.80,157.00,102000
2022-03-16,157.00,159.00,156.50,158.80,112000
2022-03-17,158.50,160.50,158.00,160.00,122000
2022-03-18,160.20,161.00,159.50,159.70,107000
2022-03-21,159.00,160.00,157.00,157.50,132000
2022-03-22,157.00,158.00,155.00,155.50,118000
2022-03-23,155.80,157.20,155.00,156.80,128000
2022-03-24,157.00,157.50,154.50,154.80,142000
2022-03-25,155.00,156.00,153.00,153.50,150000
2022-03-28,153.00,154.50,152.00,154.00,160000
2022-03-29,154.50,157.00,154.00,156.70,130000
2022-03-30,156.00,158.00,155.50,157.50,100000
2022-03-31,157.60,159.00,157.00,158.80,110000
# Minimum 60 data points for a reasonable test with EMA20
# Adding a few more to be safe, total around 60 points
2022-04-01,158.50,160.50,158.00,160.00,120000
2022-04-04,160.20,161.00,159.00,159.50,105000
2022-04-05,159.00,159.80,157.50,158.00,130000
2022-04-06,158.00,159.00,157.00,158.50,115000
2022-04-07,158.20,160.00,158.00,159.80,125000
2022-04-08,159.50,159.80,157.00,157.20,140000
2022-04-11,157.00,158.00,156.00,157.80,100000
2022-04-12,157.50,157.80,155.50,156.00,135000
2022-04-13,156.20,157.50,155.80,157.00,102000
2022-04-14,157.00,159.00,156.50,158.80,112000
2022-04-15,158.50,160.50,158.00,160.00,122000
2022-04-18,160.20,161.00,159.50,159.70,107000
2022-04-19,159.00,160.00,157.00,157.50,132000
2022-04-20,157.00,158.00,155.00,155.50,118000
2022-04-21,155.80,157.20,155.00,156.80,128000
2022-04-22,157.00,157.50,154.50,154.80,142000
2022-04-25,155.00,156.00,153.00,153.50,150000
2022-04-26,153.00,154.50,152.00,154.00,160000
2022-04-27,154.50,157.00,154.00,156.70,130000
2022-04-28,156.00,158.00,155.50,157.50,100000
2022-04-29,157.60,159.00,157.00,158.80,110000
